query,query_type,label,cluster,pred
how did president hoover respond to the challenges of the great depression,DESCRIPTION,0,17,0
degrassi the next class schedule,ENTITY,2,-1,2
distance between new york city and asheville nc,NUMERIC,1,6,1
how many pathways can be found in a series circuit,NUMERIC,1,6,1
what is the generic of norvasc,DESCRIPTION,0,17,0
what is siam?,DESCRIPTION,0,17,0
what military base was iron man filmed,LOCATION,3,0,3
what is UNH listed as ranked,PERSON,4,-1,0
rotate handle powerpoint definition,DESCRIPTION,0,17,0
what are the differences between soluble and insoluble fibers,DESCRIPTION,0,17,0
what document is created by a society to guide its government,ENTITY,2,-1,0
when is sunrise in south korea,NUMERIC,1,6,1
what is a bcfb,DESCRIPTION,0,17,0
what are rights reserved,DESCRIPTION,0,17,0
who is max greenfield,PERSON,4,3,4
why is it important to establish client contact relationship,DESCRIPTION,0,17,0
longest dog life recorded,NUMERIC,1,-1,1
which diseases affected the fall of the roman empire,ENTITY,2,-1,2
how to spray paint kitchen cabinets with oil paint,DESCRIPTION,0,17,0
what type of marketing strategy does coca cola use,DESCRIPTION,0,-1,0
where is sandestin,LOCATION,3,0,3
what a html must have,DESCRIPTION,0,-1,0
how do you lower pH to control bacterial growth,DESCRIPTION,0,17,0
how much coffee goes into a 32oz french press,NUMERIC,1,6,1
what is a sequencer,DESCRIPTION,0,17,0
2015 nhra mello yello drag racing tv schedule,NUMERIC,1,-1,1
arctic wolf average teeth length,NUMERIC,1,6,1
is fructose a simple carb,DESCRIPTION,0,17,0
the different types of blood cells and their functions,DESCRIPTION,0,-1,0
how much does an er admitting clerk make,NUMERIC,1,6,1
the carrie diaries cast,PERSON,4,-1,0
how to care for new tattoo,DESCRIPTION,0,17,0
mixture of hydrocarbons that are used for fuels,DESCRIPTION,0,-1,2
weather for the beaches in la,DESCRIPTION,0,-1,0
what is on tele tonight,DESCRIPTION,0,-1,0
what programs or app will play pps files,ENTITY,2,-1,2
was chad littlefield killed along with chris kyle,PERSON,4,-1,0
what does dna testing involve,DESCRIPTION,0,17,0
which organelle is absent in plant cells,ENTITY,2,-1,2
how much do fingerprint readers typically cost?,NUMERIC,1,6,1
are black widows insects,DESCRIPTION,0,-1,0
price per cubic foot of mulch,NUMERIC,1,6,1
average hourly loaded cost of technology professional,NUMERIC,1,6,1
definition for extrapolate,DESCRIPTION,0,17,0
how many people in the world speak yiddish,NUMERIC,1,6,1
how long for simple probate,NUMERIC,1,6,1
complex decision making definition,DESCRIPTION,0,17,0
what is a cam walker boot used for,DESCRIPTION,0,17,0
inclined geosynchronous orbit,DESCRIPTION,0,-1,0
how did the ancient civilization of greece influence future civilizations,DESCRIPTION,0,17,0
dna in chronological order,DESCRIPTION,0,-1,1
cost of laying a garden path,NUMERIC,1,6,1
can chocolate cause dizziness,DESCRIPTION,0,17,0
what is a bulging disk,DESCRIPTION,0,17,0
Carcinomas are composed of epithelial cells that make up the,DESCRIPTION,0,-1,2
longest range for chinook,NUMERIC,1,-1,1
are travel expenses for the army reserves a federal allowance?,DESCRIPTION,0,-1,1
which type of activity can help a person burn more fat,DESCRIPTION,0,-1,0
who is the market maker,PERSON,4,3,4
what college did donald trump go to,PERSON,4,0,3
how to command enchant items in minecraft,DESCRIPTION,0,17,0
what is a trap rapper,PERSON,4,17,0
what pill do you take for gonorrhea,ENTITY,2,-1,2
average teaching assistant salary blount county tn,NUMERIC,1,6,1
how is humane slaughter defined,DESCRIPTION,0,17,0
cast of scorpion,PERSON,4,2,4
commodity basis definition,DESCRIPTION,0,17,0
which creatures can perform photosynthesis,ENTITY,2,-1,2
swell meaning,DESCRIPTION,0,17,0
where was gilligans  island filmed?,LOCATION,3,0,3
can make up air come from crawl space,DESCRIPTION,0,17,0
Bath and Body Works Winter Scents 2014,DESCRIPTION,0,-1,0
what drugs are in the sulfa family,ENTITY,2,-1,2
what is the latitude and longitude of mumbai germany,DESCRIPTION,0,-1,1
average cost per acre for labor,NUMERIC,1,6,1
what are elements of nature in an ingredients list,DESCRIPTION,0,17,0
what are the different vitamins,ENTITY,2,17,2
what gets baked on grease off stove,DESCRIPTION,0,-1,0
what supplement can be taken for vaginal dryness,ENTITY,2,-1,2
where is colorado,LOCATION,3,0,3
how long does it take to get lobotomy licence,NUMERIC,1,6,1
how to avoid blisters when wearing new shoes,DESCRIPTION,0,17,0
wedding reception definition,DESCRIPTION,0,17,0
what is the name of the wireless division of sprint?,DESCRIPTION,0,-1,2
what is best time to go to hawaii,DESCRIPTION,0,-1,0
what is a transfer tax in mortgage,DESCRIPTION,0,17,0
using waste extraction as fertilizers for plants,DESCRIPTION,0,-1,0
average cost sliding glass door,NUMERIC,1,6,1
where is afcent at,LOCATION,3,0,3
what is the planet of extreme,ENTITY,2,-1,2
what is the difference between greek and egyptian art,DESCRIPTION,0,17,0
what process did charles darwin book suggest that organisms evolve through,ENTITY,2,-1,0
dtr business definition,DESCRIPTION,0,17,0
do we need passport to travel within usa,DESCRIPTION,0,-1,0
define constant sum game,DESCRIPTION,0,17,0
how long after impetigo exposure,NUMERIC,1,6,1
defining a on insert trigger,DESCRIPTION,0,17,0
what is epdm roofing material,ENTITY,2,17,0
Sales Tax Gross Sales Computation,NUMERIC,1,6,1
what level of hemoglobin is considered anemia,DESCRIPTION,0,-1,0
that it was a large proponent of the cyclical recovery,PERSON,4,-1,0
price of star wars collectibles,NUMERIC,1,6,1
how many ways can 12 kindergarteners line up at lunch,NUMERIC,1,6,1
what causes vinegar and baking soda to bubble,DESCRIPTION,0,17,0
what is antara,DESCRIPTION,0,17,0
what are pixies,DESCRIPTION,0,17,0
countertop comparison cost,NUMERIC,1,6,1
combined synopsis definition,DESCRIPTION,0,17,0
what does aic rating mean,DESCRIPTION,0,17,0
where is farmville va located,LOCATION,3,0,3
what is a magnet region,DESCRIPTION,0,17,0
+the meaning of the name rodrick,DESCRIPTION,0,-1,0
how long do you bake cube steak in the oven,NUMERIC,1,6,1
how to become a fund analyst,DESCRIPTION,0,17,0
how to volunteer to rescue dogs winter garden florida,DESCRIPTION,0,17,0
what is an annotation,DESCRIPTION,0,17,0
definition de khalis,DESCRIPTION,0,17,0
average salary of a civil engineer in nj,NUMERIC,1,6,1
Time off in lieu of overtime meaning,DESCRIPTION,0,-1,0
How to clear the notification number in email on my iphone,DESCRIPTION,0,17,0
what awards did the dressmaker win?,ENTITY,2,-1,2
"temperature in page, az",NUMERIC,1,6,1
how long do estate papers last,NUMERIC,1,6,1
what does colorectal mean,DESCRIPTION,0,17,0
0.25 CTW Diamond price,NUMERIC,1,6,1
define utilitarian,DESCRIPTION,0,17,0
cnd shellac power polish definition,DESCRIPTION,0,17,0
hydration and nutrition at end of life psycholicical impact,ENTITY,2,-1,0
how much do the dallas cowboys make a year,NUMERIC,1,6,1
what is field service,DESCRIPTION,0,17,0
difference between ammonia and vinegar,DESCRIPTION,0,-1,0
beetles that come from soybeans,ENTITY,2,-1,2
plumbing cost,NUMERIC,1,6,1
symptoms of poison ivy,ENTITY,2,10,2
limitations of difference in differences endogeneity,DESCRIPTION,0,-1,0
basic training for equipment operators,DESCRIPTION,0,-1,0
how many working hours is considered part time employment,NUMERIC,1,6,1
excerpt definition,DESCRIPTION,0,17,0
what are the benefits of english lessons,DESCRIPTION,0,17,0
how to find space for daiquiri shop or what can i use,DESCRIPTION,0,17,0
how do you reference a government site that has no date on it,DESCRIPTION,0,17,0
eddie murphy is he deceased,PERSON,4,-1,4
how long does it take to charge an EV,NUMERIC,1,6,1
what is intervention training,DESCRIPTION,0,17,0
define engine displacement,DESCRIPTION,0,-1,0
tax penalty different time zone state,LOCATION,3,-1,1
is a flood zone a bad,DESCRIPTION,0,17,0
health net prior authorization fax number,NUMERIC,1,6,1
what is a rule of construction in a bill,DESCRIPTION,0,17,0
calories in whole wheat sourdough bread slice,NUMERIC,1,6,1
how many cases go nolle prosequi,NUMERIC,1,6,1
what is a chiminea used for,DESCRIPTION,0,17,0
freetown population,NUMERIC,1,6,1
when was the art deco period,NUMERIC,1,6,1
why is the new york islanders mascot a dragon,ENTITY,2,17,0
if paraffin bath is too hot add mineral oil,DESCRIPTION,0,-1,0
is threatening a felony,DESCRIPTION,0,17,0
what connected standby,DESCRIPTION,0,17,0
rumaysah meaning,DESCRIPTION,0,17,0
what does separation orders long form mean,DESCRIPTION,0,17,0
what sandals does josh brolin wear in sicario,ENTITY,2,-1,2
what is the conoid tubercle and coastal tuberosity?,DESCRIPTION,0,17,0
hayato how to change to quick draw stance,DESCRIPTION,0,-1,0
how long does a salmon fillet take in the oven,NUMERIC,1,6,1
fibrocollagenous tissue definition,DESCRIPTION,0,17,0
what is earmarking,DESCRIPTION,0,17,0
how tall is sara ramirez,NUMERIC,1,6,1
what does boxing someone's ears mean,DESCRIPTION,0,17,0
meaning of emilio name,DESCRIPTION,0,17,0
what is the scientific name for salmonella,ENTITY,2,12,2
most expensive stock car,ENTITY,2,-1,2
cost of removing old carpet,NUMERIC,1,6,1
what does the word safe mean,DESCRIPTION,0,17,0
benefits of sports,DESCRIPTION,0,13,0
how do you set up a hypothesis testing problem?,DESCRIPTION,0,17,0
how to become a physician's assistant,DESCRIPTION,0,17,0
definition embattled,DESCRIPTION,0,17,0
how long is cooked food good after cooking,NUMERIC,1,6,1
what to do with a masters in math,DESCRIPTION,0,-1,0
algae eatersf or outdoor ponds,ENTITY,2,-1,0
eavestrough cleaning cost,NUMERIC,1,6,1
what is a trace of protein in urine mean,DESCRIPTION,0,17,0
how long does it take to renew passport in person,NUMERIC,1,6,1
how to illegally buy a child,DESCRIPTION,0,17,0
where is castello in italy?,LOCATION,3,0,3
what you must learn in becoming a radiology tech,DESCRIPTION,0,-1,0
how to put on a harley davidson trike cover,DESCRIPTION,0,17,0
what is the address of zips headquarters,LOCATION,3,-1,3
how many btus per ton,NUMERIC,1,6,1
how much cardio should you do before lifting weights,NUMERIC,1,6,1
what is the typhoid fever,ENTITY,2,17,0
do dreamers pay social security tax and medicare tax,NUMERIC,1,-1,0
first dui offense in colorado,DESCRIPTION,0,-1,0
where is yosemite valley located,LOCATION,3,0,3
who is shawn boltz,PERSON,4,3,4
what is a project concept,DESCRIPTION,0,17,0
flatbed towing cost,NUMERIC,1,6,1
average cost for a new engine in a minivan,NUMERIC,1,6,1
what is considered a rotator cuff,DESCRIPTION,0,-1,0
how many people have cat eye syndrome,NUMERIC,1,6,1
what similarities would be found in the dna structure of genes from a cat human and eucalyptus tree,DESCRIPTION,0,-1,0
how long does it take to be contacted for an interview,NUMERIC,1,6,1
what is the pay scale for a chemical engineer,NUMERIC,1,6,1
what is loop ba,DESCRIPTION,0,17,0
vitamin d in infants side effects,DESCRIPTION,0,11,2
siemens smart hearing aids price,NUMERIC,1,6,1
how long can a person receive dialysis,NUMERIC,1,6,1
why is the northern sportive lemur endangered,DESCRIPTION,0,17,0
"what is the zip code for east meadow, ny",NUMERIC,1,-1,1
what makes ankles burn and itch,DESCRIPTION,0,17,0
what domains are included in a spectrum of health care,DESCRIPTION,0,-1,0
does your salary depend on university,NUMERIC,1,-1,1
how to discuss safety to a disabled citizen,DESCRIPTION,0,17,0
how many miles between salt lake city and london,NUMERIC,1,6,1
who sang background vocals on sam cooke's bring it on home to me,PERSON,4,3,4
cost to build vinyl shed,NUMERIC,1,6,1
accounting does a deposit debit the account,DESCRIPTION,0,-1,0
how was the ivy league formed quora,DESCRIPTION,0,17,0
bergenia definition,DESCRIPTION,0,17,0
which vitamin is readily destroyed by exposure to heat?,ENTITY,2,-1,2
health insurance cost for family of 2,NUMERIC,1,6,1
when does the swimming short course season run?,NUMERIC,1,6,1
average charge for dental crown,NUMERIC,1,6,1
what trout need for survival,ENTITY,2,-1,2
stages of skin healing,DESCRIPTION,0,-1,0
what medication is prescribed for boils,ENTITY,2,-1,2
what faintness,DESCRIPTION,0,-1,0
what is the farthest hawaiian island from niihau,LOCATION,3,0,3
what is brain pruning,DESCRIPTION,0,17,0
where and when did sign language start,LOCATION,3,0,3
how to write a leaflet,DESCRIPTION,0,17,0
what spices for salsa,ENTITY,2,-1,2
average cost of gym membership per month,NUMERIC,1,6,1
what is the mental illness that makes you see things that aren't there,ENTITY,2,-1,0
causes of poor blood circulation in arms,DESCRIPTION,0,18,0
what is adaptive headlights,DESCRIPTION,0,17,0
average cost to redo a roof,NUMERIC,1,6,1
what causes water pipes to knock after turning on a shower,DESCRIPTION,0,17,0
is polyisobutylene recyclable,DESCRIPTION,0,17,0
hypnotic meaning,DESCRIPTION,0,17,0
why does pc keep shutting down,DESCRIPTION,0,17,0
where is martinsville speedway,LOCATION,3,0,3
urd cable uses permitted,DESCRIPTION,0,-1,0
what causes sensitive gums,DESCRIPTION,0,17,0
what is the specific gravity of oil,NUMERIC,1,6,1
how to become an independent provider ohio,DESCRIPTION,0,17,0
what county is saxonburg pa in,LOCATION,3,0,3
is malabar spinach a nightshade,DESCRIPTION,0,17,0
types of plywood siding,DESCRIPTION,0,-1,0
which were the first four countries to follow britain into the industrial revolution,LOCATION,3,-1,3
are asiatic lilies poisonous to cats,DESCRIPTION,0,-1,0
how much do beezid bids cost,NUMERIC,1,6,1
indiana department of insurance press release,DESCRIPTION,0,-1,1
how to dress a fish,DESCRIPTION,0,17,0
how do you construct a bootstrap distribution using data,DESCRIPTION,0,17,0
highest ford stock has ever been,ENTITY,2,-1,1
is a flash diffuser necessary,DESCRIPTION,0,17,0
when does one pay property taxes,NUMERIC,1,6,1
what is the maximum conforming loan limit in santa rosa ca,NUMERIC,1,6,1
how much will it cost in gas and tolls to drive from ny to detroit,NUMERIC,1,6,1
what are passive diffusion bags used for,DESCRIPTION,0,17,0
which of the following hormones are produced in the adrenal cortex?,DESCRIPTION,0,-1,0
highest interest rates for savings accounts,NUMERIC,1,-1,1
what chimpanzee disease is like hiv,ENTITY,2,-1,2
how does fat get into bloodstream,DESCRIPTION,0,17,0
average monthly temperature flagstaff az,NUMERIC,1,6,1
why learn about 2d shapes,DESCRIPTION,0,17,0
where was r shlomo halberstam born,LOCATION,3,0,3
what kind of degree do i need to teach preschool,DESCRIPTION,0,-1,0
how much does a master in pharmacist get paid,NUMERIC,1,6,1
average cost of a shoulder mri scan,NUMERIC,1,6,1
how to submit medical bills to the va,DESCRIPTION,0,17,0
where is the multipolar neuron located,LOCATION,3,0,3
what is a force move out of electricity?,DESCRIPTION,0,17,0
what is the meaning of inflorescence,DESCRIPTION,0,17,0
calculate unemployment benefits ga,DESCRIPTION,0,-1,0
when was the mixie baby bottle invented,NUMERIC,1,6,1
how to disable automatic sign in hotmail,DESCRIPTION,0,17,0
what is disc displacement,DESCRIPTION,0,17,0
cost of duplicate death certificate,NUMERIC,1,6,1
minimum distance between microwave and stove top,NUMERIC,1,6,1
convert from metric to square feet,DESCRIPTION,0,-1,0
what is redhub,DESCRIPTION,0,17,0
what are the benefits of prebiotics,DESCRIPTION,0,17,0
cost to insulate floor,NUMERIC,1,6,1
who plays hiram lodge riverdale,PERSON,4,3,4
the truth on how did tom brady hurt his hand,DESCRIPTION,0,-1,0
what continent are the alps in,LOCATION,3,0,3
cost to paint from deck,NUMERIC,1,6,1
what group of vertebrates do crayfish belong to,ENTITY,2,-1,2
what is rx lisinopril,DESCRIPTION,0,17,0
how thick is typical residential window glass?,NUMERIC,1,6,1
how to propagate pothos,DESCRIPTION,0,17,0
oregon modification of parenting time,NUMERIC,1,-1,1
what are the goff risk scores,DESCRIPTION,0,-1,0
definition of litmus,DESCRIPTION,0,17,0
what is involved in a toxicology screening,DESCRIPTION,0,17,0
what do you wear to a tea?,DESCRIPTION,0,-1,0
what kind of vitamins do cherries have,ENTITY,2,-1,2
what county is pepin wi in,LOCATION,3,0,3
vascular parkinson's symptoms,ENTITY,2,10,2
what is the price of duke energy?,NUMERIC,1,6,1
what is the name of the caffeine-like stimulant found in cocoa nibs?,ENTITY,2,-1,2
strathclyde university why would you graduate in november,DESCRIPTION,0,-1,0
can america be without a president,DESCRIPTION,0,-1,0
what were mills were powered by before lake state power boom,DESCRIPTION,0,-1,2
what bodily functions does the pituitary gland control,DESCRIPTION,0,-1,0
time in amman jordan right now,NUMERIC,1,-1,1
cost of physical therapy per session,NUMERIC,1,6,1
what county is morton illinois in,LOCATION,3,0,3
is nick robinson latino,DESCRIPTION,0,-1,0
what city has the largest indoor water park?,LOCATION,3,0,3
how to connect to internet on iphone 4s,DESCRIPTION,0,17,0
who is responsible for conducting the fire cause investigation,PERSON,4,3,4
what must the plaintiff prove in trespassing,DESCRIPTION,0,17,0
how much are play couldn't go dogs at the animal shelter,NUMERIC,1,6,1
what section is army amd,DESCRIPTION,0,-1,0
how to grill tomatoes on gas grill,DESCRIPTION,0,17,0
meaning of the name mera,DESCRIPTION,0,17,0
did john mccain get more votes than trump?,DESCRIPTION,0,-1,0
what is a good remedy for coughs,DESCRIPTION,0,17,0
what is foramina,DESCRIPTION,0,17,0
what is isar mean,DESCRIPTION,0,17,0
define sensory synonyms,DESCRIPTION,0,17,0
how far apart can you file between bankruptcy,NUMERIC,1,6,1
how much fuel per hour does a 42 foot grandbanks burn,NUMERIC,1,6,1
Yohan Blake Jamaican is he running at the 2015 pan am game ?,PERSON,4,-1,4
do you pay state tax in hawaii,DESCRIPTION,0,-1,0
what is meadowfoam,DESCRIPTION,0,17,0
meaning of the name raven,DESCRIPTION,0,17,0
what do torque motors cost,DESCRIPTION,0,-1,0
what is a fellowship offering,DESCRIPTION,0,17,0
creighton hospital in omaha nebraska,LOCATION,3,-1,3
what makes the stars shine,ENTITY,2,17,0
easiest way to manipulate string in a table column,DESCRIPTION,0,-1,0
what state is cumming,LOCATION,3,0,3
symptoms your pregnant,ENTITY,2,-1,0
what icon is rpg maker mv,ENTITY,2,-1,0
how to forward voicemail message,DESCRIPTION,0,17,0
what is s-hertogenbosch,DESCRIPTION,0,17,0
does artery blockage effect your ef reading,DESCRIPTION,0,17,0
difference between a habitat and niche,DESCRIPTION,0,17,0
which part of the brain helps the child maintain balance,DESCRIPTION,0,-1,0
what nutrients are involved in the body structure,ENTITY,2,-1,2
removing lime stains from concrete,DESCRIPTION,0,-1,0
how long should you stay at each national park,NUMERIC,1,6,1
is croatia safe,DESCRIPTION,0,17,0
mental side effects prednisone,DESCRIPTION,0,11,0
names of all of  the people that died on the titanic,PERSON,4,-1,4
"is this correct quoting hamlet poses a famous question in his soliloquy, to be, or not to be? that is the question.",DESCRIPTION,0,-1,0
what is a hurricane and what causes it,DESCRIPTION,0,17,0
cast of revenge,PERSON,4,2,4
how to replace ink cartridge canon pixma mg2920,DESCRIPTION,0,17,0
how long does a house member serve,NUMERIC,1,6,1
predictive definition,DESCRIPTION,0,17,0
what grain is used in making bourbon whiskey,ENTITY,2,-1,2
what causes pimples.,DESCRIPTION,0,17,0
what county is zip code 77511,LOCATION,3,0,3
which chemical can be used to reduce algae growth,ENTITY,2,-1,2
what tissue is the fat layer,DESCRIPTION,0,-1,2
what does germanium do for the body,DESCRIPTION,0,17,0
where are bed bugs common states,LOCATION,3,0,3
at what age can you start drawing ss,NUMERIC,1,6,1
how to write a good reading response,DESCRIPTION,0,17,0
average cost of house in boonton twp,NUMERIC,1,6,1
what are accessory fruits,ENTITY,2,17,2
what stain is used to stain eosinophils,DESCRIPTION,0,-1,2
how much does an intelligence analyst make,NUMERIC,1,6,1
rishmitha name meaning,DESCRIPTION,0,17,0
what is a good salary,NUMERIC,1,6,1
what are the historical influences of murcia,DESCRIPTION,0,17,0
definition of assisted dying laws,DESCRIPTION,0,17,0
what is lyrical contemporary dance,DESCRIPTION,0,17,0
what is the signal transduction mechanism that that mediates the change in heart rate when the vagus nerve is stimulated,DESCRIPTION,0,-1,0
who is the purpose of president lyndon b johnson's great society,PERSON,4,3,4
what is daypro used for,DESCRIPTION,0,17,0
intangible concept,DESCRIPTION,0,17,0
what is dematerialization,DESCRIPTION,0,17,0
medicare hotline number,NUMERIC,1,6,1
what muscles run through the knee,DESCRIPTION,0,-1,0
how many cards can you use in transaction,NUMERIC,1,6,1
what is horus,DESCRIPTION,0,17,0
mediastinum major function,DESCRIPTION,0,-1,0
causes of memory disorders,DESCRIPTION,0,18,0
commercial banking services definition,DESCRIPTION,0,17,0
between what two mountain ranges is the deccan plateau located?,ENTITY,2,-1,3
knee pain symptoms and diagnosis,ENTITY,2,10,2
can alcohol cause mouth ulcers,DESCRIPTION,0,17,0
cleaning services for a travel trailer in las vegas,DESCRIPTION,0,-1,0
who opened the academy,PERSON,4,3,4
what is the difference between earned income and adjusted gross,DESCRIPTION,0,-1,0
what days do medart elementary school have a day off,NUMERIC,1,6,1
second hand Chevrolet Cruze Price in India,NUMERIC,1,6,1
can you crush enteric coated aspirin,DESCRIPTION,0,17,0
where is balamory filmed,LOCATION,3,0,3
how to add up your closing ratio,DESCRIPTION,0,17,0
what is eye pus,DESCRIPTION,0,17,0
can i just send in a state taxes on turbotax,DESCRIPTION,0,-1,0
how many calories in a bread baton,NUMERIC,1,6,1
what percentage of rabbits diet is protein,NUMERIC,1,6,1
salaries of faculty and staff at radford university,NUMERIC,1,-1,1
should lexiscan nuclear test on a cardiac bypass patient,DESCRIPTION,0,-1,0
what are flat marbles,DESCRIPTION,0,17,0
what are vivid nouns,DESCRIPTION,0,17,0
"average temperature by month in brighton,colorado",NUMERIC,1,6,1
what temp to worry in a toddler,NUMERIC,1,6,1
is it bad to eat blackened things when pregnant,DESCRIPTION,0,-1,0
what material to use on shower curb,ENTITY,2,-1,2
what is the cost to pave a driveway,NUMERIC,1,6,1
what is mechanical weathering a result of,DESCRIPTION,0,17,0
upcoming cng cars in india,ENTITY,2,-1,2
what were the goals of the new deal the agricultural adjustment act helped farmers because it,DESCRIPTION,0,-1,0
what is human hair remy,DESCRIPTION,0,17,0
cost to replace staircase,NUMERIC,1,6,1
draft document definition,DESCRIPTION,0,17,0
what era was rockabilly in?,NUMERIC,1,-1,1
5 signs of bipolar disorder,ENTITY,2,-1,2
what are the benefits of reading the dictionary,DESCRIPTION,0,17,0
how many pools at disney contemporary,NUMERIC,1,6,1
can you reduce an enlarged prostate,DESCRIPTION,0,17,0
is fl a mortgage or deed of trust state,DESCRIPTION,0,-1,0
where are platypus found,LOCATION,3,0,3
which statement describes the role federal agencies play in creating foreign policy?,DESCRIPTION,0,-1,0
actresses who wear wigs,PERSON,4,-1,4
parergon greek mythology definition,DESCRIPTION,0,17,0
where is electrical resistance used,LOCATION,3,0,3
andrea barber how she died,PERSON,4,-1,0
where helium can be found,LOCATION,3,0,3
what is the tax rate for alcohol in tennessee,NUMERIC,1,6,1
what type of mutations will potentially be passed to offspring?,DESCRIPTION,0,-1,0
vocational nurse coordinator job duties,DESCRIPTION,0,-1,0
distance san francisco to lake tahoe,NUMERIC,1,6,1
is windows password recovery tool safe,DESCRIPTION,0,17,0
where is penang?,LOCATION,3,0,3
who created the first ever game console,PERSON,4,3,4
caffeine amount in a cup of coffee usda,NUMERIC,1,6,1
how do i make siri talk dirty,DESCRIPTION,0,17,0
when was napier rebuilt,NUMERIC,1,6,1
what happens when you get leg cramps,DESCRIPTION,0,17,0
what is a heart spasm,DESCRIPTION,0,17,0
why can an amalgam filling cause cardiovascular disease,DESCRIPTION,0,17,0
how long does it take for a bad bite to heal,NUMERIC,1,6,1
how much would it cost to surgically remove long can?,NUMERIC,1,6,1
what is gumption,DESCRIPTION,0,17,0
causes of corynebacterium,DESCRIPTION,0,18,0
what is the age gap between eric clapton and his current wife,NUMERIC,1,6,1
what antibiotics treat urinary infections,ENTITY,2,-1,2
what is adobe suite,DESCRIPTION,0,17,0
what does it mean by accessible unit,DESCRIPTION,0,17,0
different types of gloves,DESCRIPTION,0,-1,0
william wordsworth daffodils for kids,ENTITY,2,-1,2
android import contacts from sim,DESCRIPTION,0,-1,0
what food is grown in spain,ENTITY,2,-1,2
what is the comparative size of the moon to the earth,NUMERIC,1,6,1
what is health prevention appraisal,DESCRIPTION,0,17,0
how long is cooked pork tenderloin good in the fridge,NUMERIC,1,6,1
how do you care for orchids?,DESCRIPTION,0,17,0
"weather in south island, new zealand fahrenheit",DESCRIPTION,0,-1,0
google voice desktop,DESCRIPTION,0,-1,0
is insurance considered a fixed costs,DESCRIPTION,0,17,0
does bcaa contain testosterone,DESCRIPTION,0,17,0
what are hiv receptors,DESCRIPTION,0,17,0
what is a escrow agent,DESCRIPTION,0,17,0
phone number to marc train at union station,NUMERIC,1,6,1
number of keys on a piano keyboard,NUMERIC,1,6,1
what is medical term for ablation?,DESCRIPTION,0,17,0
average cell phone data usage per month,NUMERIC,1,6,1
what is blackout period insurance,DESCRIPTION,0,17,0
limerick definition and examples,DESCRIPTION,0,17,0
where is lisa robinson,LOCATION,3,0,3
cost of fabrication per kg in india,NUMERIC,1,6,1
where is old fort tn,LOCATION,3,0,3
how to parse domain name and alias,DESCRIPTION,0,17,0
how long is drivers ed course,NUMERIC,1,6,1
cost calculator to install a ceiling fan,NUMERIC,1,6,1
causes of volcanic eruption,DESCRIPTION,0,18,0
what increases risk for bladder cancer?,DESCRIPTION,0,17,0
in apa how do you reference a ted talk,DESCRIPTION,0,17,0
where is london ky located,LOCATION,3,0,3
when was south dakota accepted into the union,NUMERIC,1,6,1
united airline phone number,NUMERIC,1,6,1
how old were romeo giulia,NUMERIC,1,6,1
what is a bare root tree,ENTITY,2,17,0
what condition does the laird have in outlander,ENTITY,2,-1,1
why do people today remember and celebrate e vents of the past,DESCRIPTION,0,17,0
minimum width of toilet stall,NUMERIC,1,6,1
who was alexandra kollontai,PERSON,4,3,4
"how long do i cook rotel salsa in,pot",NUMERIC,1,6,1
where is amygdala,LOCATION,3,0,3
how long was franz josef emperor,NUMERIC,1,6,1
who belonged to the federalist party,PERSON,4,3,4
can termites cause health problems,DESCRIPTION,0,17,0
how to test a torque wrench,DESCRIPTION,0,17,0
lunatic definition,DESCRIPTION,0,17,0
what did steph curry shoot,DESCRIPTION,0,-1,0
why are labor unions formed,DESCRIPTION,0,17,0
what are the body parts of a seaweed,DESCRIPTION,0,-1,0
how does one remove shellac nail polish,DESCRIPTION,0,17,0
what molecule does protein coagulation entrap,ENTITY,2,-1,2
does chewing gum after a meal help digestion,DESCRIPTION,0,17,0
arabic coffee comes from where,DESCRIPTION,0,0,3
average rainfall amount in harbin china,NUMERIC,1,6,1
can prenatal vitamin help conception,DESCRIPTION,0,17,0
how much does a signing team member pay target,NUMERIC,1,6,1
what is a malevolent spirit,DESCRIPTION,0,17,0
most pies eaten,ENTITY,2,-1,2
cost for installing overhead fan and light,NUMERIC,1,6,1
how to make sentences coherent,DESCRIPTION,0,17,0
causes for peyronie's disease,ENTITY,2,18,0
meaning name feona,DESCRIPTION,0,17,0
what is e to the power of infinity,DESCRIPTION,0,17,0
who is mikael daez dating,PERSON,4,3,4
how to bowl a slider,DESCRIPTION,0,17,0
what is grit in education,DESCRIPTION,0,17,0
how much does it cost to cement a backyard,NUMERIC,1,6,1
causes of foodborne diseases,ENTITY,2,18,0
what is produced in beta oxidation,DESCRIPTION,0,-1,0
how to check in clc guest,DESCRIPTION,0,17,0
diagnostic medical sonographer salary,NUMERIC,1,6,1
what is demagoguery,DESCRIPTION,0,17,0
how whitney died,DESCRIPTION,0,-1,0
how to remove characters in excel formula,DESCRIPTION,0,17,0
where is mount plymouth florida,LOCATION,3,0,3
weather in portland in december,DESCRIPTION,0,5,0
can the supreme court be overruled,DESCRIPTION,0,17,0
fixed dental bridge cost,NUMERIC,1,6,1
what are disorder caused by trauma,DESCRIPTION,0,17,0
how late is costco open today?,NUMERIC,1,6,1
how long is a cat pregnancy,NUMERIC,1,6,1
how many years i have to save income tax paper,NUMERIC,1,6,1
what are stimulants drugs?,ENTITY,2,17,2
synonyms for presence,DESCRIPTION,0,-1,0
